trial,brick,channel,n,total_mass_mg,corrected_mass_mg,RMR,A,M,temp_C,vessel,date,environment,notes,filtered,signal_rate,is_paired_trial,pair_name,pair_partner_trial,pair_has_day_night_for_brick_channel
trial1,box2,Ch2,1.0,0.2263,,2.70896936756792,1.8684231200133328,2.644998291646421,27.948,small,10Nov2025,night,,True,,False,,,False
trial1,box2,Ch3,1.0,0.2099,,3.66933463559679,2.4836502036997112,3.515933021523596,27.948,small,10Nov2025,night,,True,,False,,,False
trial1,box2,Ch4,1.0,0.2703,,2.92772921140052,2.111020337653524,2.9884265115947497,27.948,small,10Nov2025,night,,True,,False,,,False
trial1,box3,Ch2,20.0,7.6,7.238095238095238,8.54665952251859,6.628953574744685,9.384154313225372,28.233,cylinder,10Nov2025,night,,True,9.745341614906833,False,,,False
trial1,box3,Ch3,20.0,6.5,7.222222222222222,8.35276425803045,6.475009907468899,9.166226835989203,28.233,cylinder,10Nov2025,night,,True,0.9813664596273292,False,,,False
trial1,box3,Ch4,20.0,5.5,7.333333333333333,7.55575510354687,5.879572240433967,8.323306624170113,28.233,cylinder,10Nov2025,night,,True,4.161490683229814,False,,,False
trial1,newbox,Ch2,1.0,0.2512999999999999,,2.68969880746292,1.9043719348976371,2.6958885599893967,27.921,small,10Nov2025,night,,True,,False,,,False
trial1,newbox,Ch3,1.0,0.297,,2.42025988091043,1.7866978473975523,2.5293054359234977,27.921,small,10Nov2025,night,,True,,False,,,False
trial1,newbox,Ch4,1.0,0.1811,,4.35623082478139,2.8417802808185897,4.022913176082953,27.921,small,10Nov2025,night,,True,,False,,,False
trial2,newbox,Ch2,5.0,1.1,1.1,3.09154530979242,2.1172945816677937,2.9973085279439142,26.846,medium,11Nov2025,night,,True,,False,,,False
trial2,newbox,Ch3,5.0,0.9,1.125,5.39875117367034,3.718253034109722,5.263675458618366,26.846,medium,11Nov2025,night,,True,,False,,,False
trial2,newbox,Ch4,5.0,1.1,1.1,3.53025268736507,2.4177503927245065,3.422643184985931,26.846,medium,11Nov2025,night,,True,,False,,,False
trial3,box2,Ch2,20.0,4.8999999999999995,4.8999999999999995,5.2275652886883,3.6778243738749894,5.206443380879112,26.75,cylinder,12Nov2025,night,"Ch2 closest to GoPro, Ch4 farthest from GoPro",True,0.1744022503516174,False,,,False
trial3,box2,Ch3,20.0,4.7,4.7,3.55823015619522,2.477427771219284,3.5071243512045855,26.75,cylinder,12Nov2025,night,"Ch2 closest to GoPro, Ch4 farthest from GoPro",True,0.4852320675105485,False,,,False
trial3,box2,Ch4,20.0,4.3,5.0588235294117645,7.57233159277447,5.370126387097228,7.60211911726728,26.75,cylinder,12Nov2025,night,"Ch2 closest to GoPro, Ch4 farthest from GoPro",True,0.2334739803094233,False,,,False
trial3,box3,Ch2,5.0,1.1,1.1,3.07620873766141,2.106791083313268,2.982439446681511,27.948,medium,12Nov2025,night,,True,,False,,,False
trial3,box3,Ch3,5.0,1.0,1.0,2.52112011632631,1.6859746354742493,2.3867185022612896,27.948,medium,12Nov2025,night,,True,,False,,,False
trial3,box3,Ch4,5.0,0.9,1.125,4.07079645034758,2.8036578767636735,3.9689459068286586,27.948,medium,12Nov2025,night,,True,,False,,,False
trial3,newbox,Ch2,,0.2168,,0.384283741359016,0.2622206138818574,0.3712077143142178,26.813,small,12Nov2025,night,,True,,False,,,False
trial3,newbox,Ch3,,0.1989,,0.517094416912964,0.345325416654853,0.4888534761374912,26.813,small,12Nov2025,night,,True,,False,,,False
trial3,newbox,Ch4,,0.2552,,0.42833179817292,0.3044391382368027,0.430973579764366,26.813,small,12Nov2025,night,,True,,False,,,False
trial4,box2,Ch2,,0.2187,,1.10195046647764,0.7535711594251169,1.0667789367213696,27.142,small,13Nov2025,night,,False,,True,trial4_vs_trial4.5,trial4.5,True
trial4,box2,Ch3,,0.3741,,0.901493854537244,0.7050334096632832,0.9980673778537532,27.142,small,13Nov2025,night,,False,,True,trial4_vs_trial4.5,trial4.5,True
trial4,box2,Ch4,,0.2074,,1.00053597480648,0.6752038291558068,0.9558396893619509,27.142,small,13Nov2025,night,,False,,True,trial4_vs_trial4.5,trial4.5,True
trial4,box3,Ch2,,0.2946,,0.740565942556942,0.545596934210704,0.7723641093161698,27.185,small,13Nov2025,night,,False,,True,trial4_vs_trial4.5,trial4.5,False
trial4,box3,Ch3,,0.2209,,1.21407457788606,0.8323275965114523,1.178269015878616,27.185,small,13Nov2025,night,,False,,True,trial4_vs_trial4.5,trial4.5,True
trial4,box3,Ch4,,0.2517999999999999,,1.56000791005246,1.1050723991896776,1.5643751014927774,27.185,small,13Nov2025,night,,False,,True,trial4_vs_trial4.5,trial4.5,True
trial4,newbox,Ch2,20.0,4.5,5.294117647058823,0.158096374925072,0.1133999361375309,0.1605325015216265,27.174,cylinder,13Nov2025,night,,False,0.0876216968011126,True,trial4_vs_trial4.5,trial4.5,False
trial4,newbox,Ch4,20.0,4.8999999999999995,4.8999999999999995,-0.10303992759879,-0.0724931658003707,-0.1026235961459592,27.174,cylinder,13Nov2025,night,,False,0.0514603616133518,True,trial4_vs_trial4.5,trial4.5,False
trial4.5,box2,Ch2,,0.2187,,1.05382375793622,0.7206596079006651,1.0201883135241,26.728,small,14Nov2025,day,Same animals as trial4,False,,True,trial4_vs_trial4.5,trial4,True
trial4.5,box2,Ch3,,0.3741,,0.584481165782046,0.4571065538841808,0.6470943552204672,26.728,small,14Nov2025,day,Same animals as trial4,False,,True,trial4_vs_trial4.5,trial4,True
trial4.5,box2,Ch4,,0.2074,,1.45055757469628,0.978897364520376,1.3857577703465274,26.728,small,14Nov2025,day,Same animals as trial4,False,,True,trial4_vs_trial4.5,trial4,True
trial4.5,box3,Ch3,,0.2209,,1.22684872759647,0.8410851123342906,1.190666429581305,26.774,small,14Nov2025,day,Same animals as trial4,False,,True,trial4_vs_trial4.5,trial4,True
trial4.5,box3,Ch4,,0.2517999999999999,,1.85686261974437,1.315357195911614,1.8620608462960035,26.774,small,14Nov2025,day,Same animals as trial4,False,,True,trial4_vs_trial4.5,trial4,True
trial5,box2,Ch2,20.0,3.3,4.4,3.04283209434022,2.0839325517451317,2.950080193416204,26.506,cylinder,14Nov2025,night,"One cylinder broke, only 3 channels available",True,0.3915492957746478,True,trial5_vs_trial5.5,trial5.5,False
trial5,box2,Ch4,20.0,3.6,4.800000000000001,2.89741133357161,2.027976718924652,2.870867363820751,26.506,cylinder,14Nov2025,night,"One cylinder broke, only 3 channels available",True,0.1084507042253521,True,trial5_vs_trial5.5,trial5.5,False
trial5,box3,Ch2,,0.1893,,2.28583738341657,1.5077626627986738,2.1344360517666323,26.568,small,14Nov2025,night,,True,,True,trial5_vs_trial5.5,trial5.5,True
trial5,box3,Ch3,,0.3351,,0.920853511060319,0.7006226210286121,0.9918233273073034,26.568,small,14Nov2025,night,,True,,True,trial5_vs_trial5.5,trial5.5,True
trial5,box3,Ch4,,0.3626999999999999,,0.47362408667637,0.3675535906042184,0.520320375413535,26.568,small,14Nov2025,night,,True,,True,trial5_vs_trial5.5,trial5.5,True
trial5,newbox,Ch2,,0.2234,,1.87153433847745,1.2866741980673233,1.821456296135596,25.773,small,14Nov2025,night,,True,,True,trial5_vs_trial5.5,trial5.5,True
trial5,newbox,Ch3,,0.2704,,1.87643707558113,1.3531180182378924,1.915516249129735,25.773,small,14Nov2025,night,,True,,True,trial5_vs_trial5.5,trial5.5,True
trial5,newbox,Ch4,,0.2277,,2.68180312900443,1.8525402422053592,2.622513992336199,25.773,small,14Nov2025,night,,True,,True,trial5_vs_trial5.5,trial5.5,True
trial5.5,newbox,Ch2,,0.2234,,0.756193257582549,0.5198805778126877,0.7359592297085795,26.004,small,15Nov2025,day,Same animals as trial5,True,,True,trial5_vs_trial5.5,trial5,True
trial5.5,newbox,Ch3,,0.2704,,1.19955346293235,0.865010303652596,1.2245356797989857,26.004,small,15Nov2025,day,Same animals as trial5,True,,True,trial5_vs_trial5.5,trial5,True
trial5.5,newbox,Ch4,,0.2277,,2.99543526597595,2.069191549941097,2.9292123695431243,26.004,small,15Nov2025,day,Same animals as trial5,True,,True,trial5_vs_trial5.5,trial5,True
trial5.5,box3,Ch2,,0.1893,,2.24525900485251,1.4809967324837394,2.0965453624473827,26.159,small,15Nov2025,day,Control from newpyro-trial5-light.csv,True,,True,trial5_vs_trial5.5,trial5,True
trial5.5,box3,Ch3,,0.3351,,0.427888372830834,0.3255547920268175,0.4608655606563537,26.159,small,15Nov2025,day,Control from newpyro-trial5-light.csv,True,,True,trial5_vs_trial5.5,trial5,True
trial5.5,box3,Ch4,,0.3626999999999999,,0.706451259047273,0.5482379468321303,0.7761028095051503,26.159,small,15Nov2025,day,Control from newpyro-trial5-light.csv,True,,True,trial5_vs_trial5.5,trial5,True
trial6,box3,Ch2,,0.2401,,0.949857511598331,0.6649002581188317,0.9412536314724176,25.433,small,16Nov2025,day,Ch1 control from newpyro-trial6-light.csv,True,,True,trial6_vs_trial6.5,trial6.5,True
trial6,box3,Ch3,,0.2578999999999999,,0.375336328446994,0.2674751482688815,0.3786461977755961,25.433,small,16Nov2025,day,Ch1 control from newpyro-trial6-light.csv,True,,True,trial6_vs_trial6.5,trial6.5,False
trial6,box3,Ch4,,0.2079,,0.679472285607169,0.4588126355372625,0.6495095378466478,25.433,small,16Nov2025,day,Ch1 control from newpyro-trial6-light.csv,True,,True,trial6_vs_trial6.5,trial6.5,True
trial6,newbox,Ch2,,0.193,,1.84134906682331,1.220465348166078,1.727728974414476,25.551,small,16Nov2025,day,Ch1 control in same CSV,True,,True,trial6_vs_trial6.5,trial6.5,True
trial6,newbox,Ch3,,0.2411,,0.920279448817138,0.6448653267034654,0.9128915550244882,25.551,small,16Nov2025,day,Ch1 control in same CSV,True,,True,trial6_vs_trial6.5,trial6.5,True
trial6,newbox,Ch4,,0.2281,,1.32919666405876,0.9185875690621276,1.3003813348657496,25.551,small,16Nov2025,day,Ch1 control in same CSV,True,,True,trial6_vs_trial6.5,trial6.5,True
trial6.5,box3,Ch2,,0.2401,,1.95413716574838,1.367896016023866,1.93643644567364,25.716,small,16Nov2025,night,Ch1 control from newpyro-trial6-dark.csv; Ch3 missing from box3 CSV,True,,True,trial6_vs_trial6.5,trial6,True
trial6.5,box3,Ch4,,0.2079,,2.18250944481723,1.4737362092211812,2.086267138301993,25.716,small,16Nov2025,night,Ch1 control from newpyro-trial6-dark.csv; Ch3 missing from box3 CSV,True,,True,trial6_vs_trial6.5,trial6,True
trial6.5,newbox,Ch2,,0.193,,3.22205642144101,2.135612569641089,3.023240045476956,25.838,small,16Nov2025,night,Same animals as trial6; Ch1 control in same CSV,True,,True,trial6_vs_trial6.5,trial6,True
trial6.5,newbox,Ch3,,0.2411,,1.42490657201483,0.998471543904748,1.4134675917876554,25.838,small,16Nov2025,night,Same animals as trial6; Ch1 control in same CSV,True,,True,trial6_vs_trial6.5,trial6,True
trial6.5,newbox,Ch4,,0.2281,,2.02119850839629,1.3968195035566755,1.9773814405697596,25.838,small,16Nov2025,night,Same animals as trial6; Ch1 control in same CSV,True,,True,trial6_vs_trial6.5,trial6,True
trial7,newbox,Ch2,,0.2279,,2.09602208268526,1.448211311037022,2.0501332929388143,25.734,small,17Nov2025,day,Ch1 control in same CSV,True,,True,trial7_vs_trial7.5,trial7.5,True
trial7,newbox,Ch3,,0.2633,,1.10840467912689,0.7939827466686965,1.1239868453995847,25.734,small,17Nov2025,day,Ch1 control in same CSV,True,,True,trial7_vs_trial7.5,trial7.5,True
trial7,newbox,Ch4,,0.2362,,1.14703840900962,0.7996463034840696,1.1320043538219795,25.734,small,17Nov2025,day,Ch1 control in same CSV,True,,True,trial7_vs_trial7.5,trial7.5,True
trial7,box3,Ch2,,0.2643999999999999,,0.546028303284542,0.3915439498046972,0.5542818793264161,25.873,small,17Nov2025,day,Ch1 control from newpyro-trial7-light.csv,True,,True,trial7_vs_trial7.5,trial7.5,True
trial7,box3,Ch3,,0.2535,,0.857757650439389,0.6086380383497129,0.8616070709157848,25.873,small,17Nov2025,day,Ch1 control from newpyro-trial7-light.csv,True,,True,trial7_vs_trial7.5,trial7.5,True
trial7,box3,Ch4,,0.2489999999999999,,1.08048547046026,0.7632534358235052,1.08048547046026,25.873,small,17Nov2025,day,Ch1 control from newpyro-trial7-light.csv,True,,True,trial7_vs_trial7.5,trial7.5,True
trial7.5,newbox,Ch2,,0.2279,,3.96786699933942,2.741531168303414,3.880997392392684,26.549,small,17Nov2025,night,Same animals as trial7; Ch1 control in same CSV,True,,True,trial7_vs_trial7.5,trial7,True
trial7.5,newbox,Ch3,,0.2633,,2.79813005208638,2.004382538372008,2.8374667028108957,26.549,small,17Nov2025,night,Same animals as trial7; Ch1 control in same CSV,True,,True,trial7_vs_trial7.5,trial7,True
trial7.5,newbox,Ch4,,0.2362,,2.62696225271267,1.831360343536895,2.592531064381993,26.549,small,17Nov2025,night,Same animals as trial7; Ch1 control in same CSV,True,,True,trial7_vs_trial7.5,trial7,True
trial7.5,box3,Ch2,,0.2643999999999999,,1.35838737556125,0.9740673792781862,1.3789202919523518,26.417,small,17Nov2025,night,Same animals as trial7; Ch1 control from newpyro-trial7-dark.csv,True,,True,trial7_vs_trial7.5,trial7,True
trial7.5,box3,Ch3,,0.2535,,1.36035966357776,0.965268729070402,1.366464647125918,26.417,small,17Nov2025,night,Same animals as trial7; Ch1 control from newpyro-trial7-dark.csv,True,,True,trial7_vs_trial7.5,trial7,True
trial7.5,box3,Ch4,,0.2489999999999999,,1.41454295259981,0.9992311772890612,1.41454295259981,26.417,small,17Nov2025,night,Same animals as trial7; Ch1 control from newpyro-trial7-dark.csv,True,,True,trial7_vs_trial7.5,trial7,True
